feature_call,num_cells,pct_cells,median_umis,stddev_umis
2.CRko.sg_hALAS1-INTRON_7.ALAS1-INTRON|1.CRko.sg_Neg_Control_Human_GA_0485.Neg_Control_Human,2.0,0.040749796251018745,695.0,105.0
2.CRko.sg_hALAS1-INTRON_7.ALAS1-INTRON|1.CRko.sg_Neg_Control_Human_GA_0488.Neg_Control_Human,1.0,0.020374898125509373,526.0,0.0
2.CRko.sg_hALAS1-INTRON_7.ALAS1-INTRON|2.CRko.sg_hCHAT-INTRON_3.CHAT-INTRON,1.0,0.020374898125509373,1424.0,0.0
2.CRko.sg_hALAS1-INTRON_8.ALAS1-INTRON,42.0,0.8557457212713936,709.5,636.9005037685872
2.CRko.sg_hALAS1-INTRON_8.ALAS1-INTRON|1.CRko.sg_Neg_Control_Human_GA_0488.Neg_Control_Human,1.0,0.020374898125509373,294.0,0.0
2.CRko.sg_hALAS1-INTRON_8.ALAS1-INTRON|2.CRko.sg_hREEP5-INTRON_2.REEP5-INTRON|1.CRko.sg_Neg_Control_Human_GA_0492.Neg_Control_Human|4.CRko.sg_hTNFRSF1A_2.TNFRSF1A,1.0,0.020374898125509373,3310.0,0.0
2.CRko.sg_hCHAT-INTRON_1.CHAT-INTRON,41.0,0.8353708231458843,315.0,405.1007967928049
2.CRko.sg_hCHAT-INTRON_1.CHAT-INTRON|1.CRko.sg_Neg_Control_Human_GA_0490.Neg_Control_Human,1.0,0.020374898125509373,92.0,0.0
2.CRko.sg_hCHAT-INTRON_1.CHAT-INTRON|1.CRko.sg_Neg_Control_Human_GA_0491.Neg_Control_Human,1.0,0.020374898125509373,521.0,0.0
2.CRko.sg_hCHAT-INTRON_1.CHAT-INTRON|1.CRko.sg_Neg_Control_Human_GA_0497.Neg_Control_Human,1.0,0.020374898125509373,215.0,0.0
2.CRko.sg_hCHAT-INTRON_2.CHAT-INTRON,21.0,0.4278728606356968,300.0,222.3787702554303
2.CRko.sg_hCHAT-INTRON_2.CHAT-INTRON|1.CRko.sg_Neg_Control_Human_GA_0498.Neg_Control_Human,1.0,0.020374898125509373,726.0,0.0
2.CRko.sg_hCHAT-INTRON_3.CHAT-INTRON,30.0,0.6112469437652812,1281.5,837.9648653467253
2.CRko.sg_hCHAT-INTRON_3.CHAT-INTRON|1.CRko.sg_Neg_Control_Human_GA_0485.Neg_Control_Human,1.0,0.020374898125509373,1760.0,0.0
2.CRko.sg_hCHAT-INTRON_3.CHAT-INTRON|1.CRko.sg_Neg_Control_Human_GA_0485.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0496.Neg_Control_Human,1.0,0.020374898125509373,916.0,0.0
2.CRko.sg_hCHAT-INTRON_3.CHAT-INTRON|1.CRko.sg_Neg_Control_Human_GA_0493.Neg_Control_Human,1.0,0.020374898125509373,5547.0,0.0
2.CRko.sg_hCHAT-INTRON_3.CHAT-INTRON|1.CRko.sg_Neg_Control_Human_GA_0496.Neg_Control_Human,1.0,0.020374898125509373,1229.0,0.0
2.CRko.sg_hCHAT-INTRON_3.CHAT-INTRON|1.CRko.sg_Neg_Control_Human_GA_0499.Neg_Control_Human,1.0,0.020374898125509373,55.0,0.0
2.CRko.sg_hCHAT-INTRON_3.CHAT-INTRON|1.CRko.sg_Neg_Control_Human_GA_0499.Neg_Control_Human|4.CRko.sg_hTNFRSF1A_4.TNFRSF1A,1.0,0.020374898125509373,1260.0,0.0
2.CRko.sg_hCHAT-INTRON_3.CHAT-INTRON|4.CRko.sg_hTNFRSF1A_3.TNFRSF1A,1.0,0.020374898125509373,3404.0,0.0
2.CRko.sg_hCHAT-INTRON_4.CHAT-INTRON,23.0,0.46862265688671556,88.0,130.6364383202988
2.CRko.sg_hCHAT-INTRON_4.CHAT-INTRON|4.CRko.sg_hTNFRSF1A_3.TNFRSF1A,1.0,0.020374898125509373,506.0,0.0
2.CRko.sg_hCHAT-INTRON_5.CHAT-INTRON,32.0,0.6519967400162999,229.5,655.369068701703
2.CRko.sg_hCHAT-INTRON_5.CHAT-INTRON|1.CRko.sg_Neg_Control_Human_GA_0499.Neg_Control_Human,1.0,0.020374898125509373,347.0,0.0
2.CRko.sg_hCHAT-INTRON_5.CHAT-INTRON|4.CRko.sg_hTNFRSF1A_2.TNFRSF1A,1.0,0.020374898125509373,1034.0,0.0
2.CRko.sg_hCHAT-INTRON_5.CHAT-INTRON|4.CRko.sg_hTNFRSF1A_3.TNFRSF1A,1.0,0.020374898125509373,94.0,0.0
2.CRko.sg_hCHAT-INTRON_6.CHAT-INTRON,28.0,0.5704971475142625,525.0,604.2620256670655
2.CRko.sg_hCHAT-INTRON_6.CHAT-INTRON|1.CRko.sg_Neg_Control_Human_GA_0497.Neg_Control_Human,1.0,0.020374898125509373,644.0,0.0
2.CRko.sg_hCHAT-INTRON_6.CHAT-INTRON|4.CRko.sg_hTNFRSF1A_1.TNFRSF1A,1.0,0.020374898125509373,1412.0,0.0
2.CRko.sg_hCHAT-INTRON_6.CHAT-INTRON|4.CRko.sg_hTNFRSF1A_7.TNFRSF1A,1.0,0.020374898125509373,462.0,0.0
2.CRko.sg_hCHAT-INTRON_6.CHAT-INTRON|4.CRko.sg_hTNFRSF1A_8.TNFRSF1A,1.0,0.020374898125509373,113.0,0.0
2.CRko.sg_hCHAT-INTRON_7.CHAT-INTRON,39.0,0.7946210268948656,290.0,234.19742791067048
2.CRko.sg_hCHAT-INTRON_7.CHAT-INTRON|1.CRko.sg_Neg_Control_Human_GA_0495.Neg_Control_Human,1.0,0.020374898125509373,491.0,0.0
2.CRko.sg_hCHAT-INTRON_7.CHAT-INTRON|1.CRko.sg_Neg_Control_Human_GA_0497.Neg_Control_Human,1.0,0.020374898125509373,565.0,0.0
2.CRko.sg_hCHAT-INTRON_7.CHAT-INTRON|2.CRko.sg_hCHAT-INTRON_8.CHAT-INTRON,2.0,0.040749796251018745,630.0,390.0
2.CRko.sg_hCHAT-INTRON_7.CHAT-INTRON|4.CRko.sg_hTNFRSF1A_4.TNFRSF1A,1.0,0.020374898125509373,1648.0,0.0
2.CRko.sg_hCHAT-INTRON_8.CHAT-INTRON,33.0,0.6723716381418092,172.0,298.2993332119166
2.CRko.sg_hCHAT-INTRON_8.CHAT-INTRON|1.CRko.sg_Neg_Control_Human_GA_0491.Neg_Control_Human,1.0,0.020374898125509373,560.0,0.0
2.CRko.sg_hCHAT-INTRON_8.CHAT-INTRON|1.CRko.sg_Neg_Control_Human_GA_0492.Neg_Control_Human|4.CRko.sg_hTNFRSF1A_5.TNFRSF1A,1.0,0.020374898125509373,1023.0,0.0
2.CRko.sg_hDMD-INTRON_1.DMD-INTRON,29.0,0.5908720456397718,1219.0,2463.1989660306494
2.CRko.sg_hDMD-INTRON_1.DMD-INTRON|1.CRko.sg_Neg_Control_Human_GA_0500.Neg_Control_Human,1.0,0.020374898125509373,1915.0,0.0
2.CRko.sg_hDMD-INTRON_1.DMD-INTRON|2.CRko.sg_hCHAT-INTRON_3.CHAT-INTRON,1.0,0.020374898125509373,1744.0,0.0
2.CRko.sg_hDMD-INTRON_1.DMD-INTRON|2.CRko.sg_hCHAT-INTRON_5.CHAT-INTRON,1.0,0.020374898125509373,7464.0,0.0
2.CRko.sg_hDMD-INTRON_1.DMD-INTRON|2.CRko.sg_hCHAT-INTRON_7.CHAT-INTRON,1.0,0.020374898125509373,3033.0,0.0
2.CRko.sg_hDMD-INTRON_1.DMD-INTRON|2.CRko.sg_hDMD-INTRON_8.DMD-INTRON|2.CRko.sg_hCHAT-INTRON_7.CHAT-INTRON,1.0,0.020374898125509373,2120.0,0.0
2.CRko.sg_hDMD-INTRON_1.DMD-INTRON|2.CRko.sg_hREEP5-INTRON_8.REEP5-INTRON,1.0,0.020374898125509373,2576.0,0.0
2.CRko.sg_hDMD-INTRON_2.DMD-INTRON,38.0,0.7742461287693562,461.0,390.5937353139218
2.CRko.sg_hDMD-INTRON_2.DMD-INTRON|1.CRko.sg_Neg_Control_Human_GA_0486.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0500.Neg_Control_Human,1.0,0.020374898125509373,1940.0,0.0
2.CRko.sg_hDMD-INTRON_3.DMD-INTRON,24.0,0.4889975550122249,386.0,436.6295129709194
2.CRko.sg_hDMD-INTRON_3.DMD-INTRON|1.CRko.sg_Neg_Control_Human_GA_0490.Neg_Control_Human|1.CRko.sg_Neg_Control_Human_GA_0500.Neg_Control_Human,1.0,0.020374898125509373,2952.0,0.0
